# market, Count, MinOfyear, MaxOfyear
"Slowcore",27,"1988","2001"
"Sludge Metal",23,"1991","2006"
"Soft Rock",199,"1968","2006"
"Sophisti-Pop",16,"1984","2002"
"Southern Rock",75,"1969","2006"
"Space Rock",34,"1987","2004"
"Speed Metal",46,"1983","2004"
"Stoner Metal",40,"1986","2006"
"Straight-Edge",3,"1988","2000"
"Sunshine Pop",63,"1966","2006"
"Surf",59,"1960","2000"
"Surf Revival",18,"1989","2000"
"Swamp Pop",14,"1973","2002"
"Swedish Pop/Rock",16,"1974","2003"
"Symphonic Black Metal",52,"1991","2008"
"Synth Pop",62,"1979","2008"
"Teen Idol",22,"1957","2005"
"Teen Pop",37,"1983","2005"
"Tex-Mex",28,"1969","2001"
"Third Wave Ska Revival",21,"1990","1998"
"Thrash",93,"1981","2004"
"Twee Pop",42,"1983","2000"
"Urban",179,"1975","2008"
